周边ID,中文简记,正式商品名,厂商/渠道,清理判定,判定理由,处理动作,清理前图片状态,清理前本地图,清理前Fallback,图片来源说明,图片来源URL,图片类型
KR-MER-0445,Jewelry Plate Collection Vol.4,鬼龍紅郎 「あんさんぶるスターズ!! ジュエリープレートコレクション vol.4」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://images.weserv.nl/?url=https%3A%2F%2Fcdn.suruga-ya.jp%2Fdatabase%2Fpics_webp%2Fgame%2F561268260.jpg.webp&output=webp&q=92,駿河屋角色单品档案原图＋AmiAmi官方Family,https://cdn.suruga-ya.jp/database/pics_webp/game/561268260.jpg.webp,档案单品原图
KR-MER-0447,ちみ Ring Collection Vol.1,鬼龍紅郎 「あんさんぶるスターズ!! ちみリングコレクション Vol.1」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/508803009.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/508803009.jpg.webp,档案单品原图
KR-MER-0450,おでかけ Photo Collection 第三弹,鬼龍紅郎 「あんさんぶるスターズ! おでかけフォトコレクション 第三弾」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/608612106.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/608612106.jpg.webp,档案单品原图
KR-MER-0451,Petal徽章 Sugar Glitter C,鬼龍紅郎 「あんさんぶるスターズ! ペタル缶バッジコレクション シュガーラメver. C」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871054303.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871054303.jpg.webp,档案单品原图
KR-MER-0452,Petal徽章 第八弹,鬼龍紅郎 「あんさんぶるスターズ! ペタル缶バッジコレクション 第八弾」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871712953.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871712953.jpg.webp,档案单品原图
KR-MER-0453,Petal徽章 memories C,鬼龍紅郎 「あんさんぶるスターズ! ペタル缶バッジコレクション memories ver. C」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871054272.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871054272.jpg.webp,档案单品原图
KR-MER-0454,Petal徽章 第四弹,鬼龍紅郎 「あんさんぶるスターズ! ペタル缶バッジコレクション 第四弾」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871673270.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871673270.jpg.webp,档案单品原图
KR-MER-0455,Star Keyholder Unit 第四弹,鬼龍紅郎 「あんさんぶるスターズ! スターキーホルダーコレクション Unit ver.第四弾」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/608822149.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/608822149.jpg.webp,档案单品原图
KR-MER-0456,おなまえ Acrylic Keyholder Vol.4,鬼龍紅郎 「あんさんぶるスターズ!! おなまえアクキーコレクション Vol.4」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/508059562.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/508059562.jpg.webp,档案单品原图
KR-MER-0457,Petal徽章 memories B,鬼龍紅郎 「あんさんぶるスターズ! ペタル缶バッジコレクション memories ver. B」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871054262.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871054262.jpg.webp,档案单品原图
KR-MER-0458,Sign Sticker 第二弹,鬼龍紅郎 「あんさんぶるスターズ! サインステッカー 第二弾」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0458.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/859021806.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/859021806.jpg.webp,档案单品原图
KR-MER-0459,Sign Sticker ver.2 第二弹,鬼龍紅郎 「あんさんぶるスターズ! サインステッカー ver.2 第二弾」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0459.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/859018847.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/859018847.jpg.webp,档案单品原图
KR-MER-0460,Acrylic Diorama 第三弹,鬼龍紅郎 「あんさんぶるスターズ! アクリルジオラマコレクション 第三弾」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/608507447.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/608507447.jpg.webp,档案单品原图
KR-MER-0465,Garland Collection 第二弹,鬼龍紅郎 「あんさんぶるスターズ! ガーランドコレクション 第二弾」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/508111385.jpg.webp,駿河屋角色单品档案原图＋AmiAmi官方Family,https://cdn.suruga-ya.jp/database/pics_webp/game/508111385.jpg.webp,档案单品原图
KR-MER-0466,Star Keyholder Brand New Vol.2,鬼龍紅郎 「あんさんぶるスターズ!! スターキーホルダーコレクション Brand New! Vol.2」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/508383570.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/508383570.jpg.webp,档案单品原图
KR-MER-0467,Cookie Code Reel 第二弹,鬼龍紅郎 「あんさんぶるスターズ! クッキーコードリール 第二弾」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/878012188.jpg.webp,駿河屋角色单品档案原图＋AmiAmi官方Family,https://cdn.suruga-ya.jp/database/pics_webp/game/878012188.jpg.webp,档案单品原图
KR-MER-0468,Clear Key Charm Vol.3,鬼龍紅郎 「あんさんぶるスターズ!! クリアキーチャーム Vol.3」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/508161671.jpg.webp,駿河屋角色单品档案原图＋AmiAmi官方Family,https://cdn.suruga-ya.jp/database/pics_webp/game/508161671.jpg.webp,档案单品原图
KR-MER-0469,Big Sign Sticker 第二弹,鬼龍紅郎 「あんさんぶるスターズ! ビッグサインステッカー 第二弾」,amie（大網）,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/859045901.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/859045901.jpg.webp,档案单品原图
KR-MER-0474,Candy Charm Collection Vol.1,鬼龍紅郎 「あんさんぶるスターズ!! キャンディチャームコレクション Vol.1」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0474.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/508827547.jpg.webp,駿河屋全10種セット档案原图・无歧义定位裁切,https://cdn.suruga-ya.jp/database/pics_webp/game/508827547.jpg.webp,駿河屋全套档案原图・角色无歧义裁切
KR-MER-0476,Bukubu Emote Holo Sticker Vol.2,鬼龍紅郎(悩み中) 「あんさんぶくぶスターズ!! エモートホロステッカー vol.2」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/859127870.jpg.webp,駿河屋『悩み中』单品原图＋AmiAmi官方角色阵容映射,https://cdn.suruga-ya.jp/database/pics_webp/game/859127870.jpg.webp,角色单品原图
KR-MER-0484,おまんじゅう前发夹 F,鬼龍紅郎 「あんさんぶるスターズ!! おまんじゅう前髪クリップ F」,エンスカイ,非官图已撤,非官方图片来源：img.amiami.jp,从网页展示层撤下；不补图,官方图已入库,assets/images/KR-MER-0484.webp,https://img.amiami.jp/images/product/main/243/GOODS-04534042.jpg,AmiAmi官方全9種商品图・阵容顺序无歧义定位裁切,https://img.amiami.jp/images/product/main/243/GOODS-04534042.jpg,官方全套商品图・角色无歧义裁切
KR-MER-0485,もちもち Vol.13 普通版,鬼龍紅郎 「もちもちマスコット あんさんぶるスターズ!! Vol.13」,エスケイジャパン,非官图已撤,非官方图片来源：img21.shop-pro.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0485.webp,https://img21.shop-pro.jp/PA01468/075/product/190442561.jpg?cmsp_timestamp=20260207171403,REALiZE鬼龍紅郎独立商品图＋SK-Japan官方Family直证,https://img21.shop-pro.jp/PA01468/075/product/190442561.jpg?cmsp_timestamp=20260207171403,精确二手/零售角色商品图
KR-MER-0486,Onamae Pitan-ko Rubber Mascot Vol.7,鬼龍紅郎 「あんさんぶるスターズ!! おなまえぴたんコ ラバーマスコット Vol.7」,アルジャーノンプロダクト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0486.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/571659360.jpg.webp,駿河屋BOX档案原图・无歧义定位裁切,https://cdn.suruga-ya.jp/database/pics_webp/game/571659360.jpg.webp,駿河屋BOX档案原图・角色无歧义裁切
KR-MER-0487,Feature Scout2 2024 SPRING Casual,鬼龍紅郎 「あんさんぶるスターズ!! フィーチャースカウト2缶バッジ[2024 SPRING]-Casual Side-」,pattythree,来源不明已撤,图片来源URL缺失，不能证明为官图,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0487.webp,,公开真实商品图/旧图鉴迁移,,既有实图
KR-MER-0488,Feature Scout 2021 WINTER Idol,鬼龍紅郎 「あんさんぶるスターズ!! フィーチャースカウト缶バッジ[2021 WINTER]-Idol Side-」,フロンティアワークス,非官图已撤,非官方图片来源：jp.mercari.com,从网页展示层撤下；不补图,实图已入库,,https://static.mercdn.net/item/detail/orig/photos/m69517677969_1.jpg?1739706460=,公开真实商品图/旧图鉴迁移,https://jp.mercari.com/item/m69517677969,二手实物图/圆形裁切
KR-MER-0489,Theme Scout 2022 WINTER Casual,鬼龍紅郎 「あんさんぶるスターズ!! テーマスカウト缶バッジ [2022 WINTER]-Casual Side-」,pattythree,来源不明已撤,图片来源URL缺失，不能证明为官图,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0489.webp,,公开真实商品图/旧图鉴迁移,,既有实图
KR-MER-0491,Clear Card 初代 No.26 / Normal,No.26[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0491.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g4432641.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g4432641.jpg.webp,档案单品原图
KR-MER-0492,Clear Card 初代 No.57 / Normal,No.57[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0492.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g4432672.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g4432672.jpg.webp,档案单品原图
KR-MER-0493,Clear Card Vol.2 No.88 / Normal,No.88[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム2」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0493.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3025564.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3025564.jpg.webp,档案单品原图
KR-MER-0494,Clear Card Vol.2 No.119 / Normal,No.119[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム2」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0494.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3025595.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3025595.jpg.webp,档案单品原图
KR-MER-0495,Clear Card Vol.3 No.151 / Normal,No.151[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム3」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0495.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3151166.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3151166.jpg.webp,档案单品原图
KR-MER-0496,Clear Card Vol.3 No.184 / Normal,No.184[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム3」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0496.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3151199.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3151199.jpg.webp,档案单品原图
KR-MER-0497,Clear Card Vol.3 SP18 / Special,SP18[スペシャルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム3」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0497.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3151207.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3151207.jpg.webp,档案单品原图
KR-MER-0498,Clear Card Vol.4 No.217 / Normal,No.217[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム4」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0498.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3352770.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3352770.jpg.webp,档案单品原图
KR-MER-0499,Clear Card Vol.4 No.250 / Normal,No.250[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム4」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0499.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3352801.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3352801.jpg.webp,档案单品原图
KR-MER-0500,Clear Card Vol.5 No.285 / Normal,No.285[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム5」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0500.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3407407.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3407407.jpg.webp,档案单品原图
KR-MER-0501,Clear Card Vol.5 No.321 / Normal,No.321[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム5」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0501.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3407443.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3407443.jpg.webp,档案单品原图
KR-MER-0502,Clear Card Vol.6 No.357 / Normal,No.357[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム6」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0502.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3578553.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3578553.jpg.webp,档案单品原图
KR-MER-0503,Clear Card Vol.7 No.394 / Normal,No.394[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム7」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0503.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3733416.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3733416.jpg.webp,档案单品原图
KR-MER-0504,Clear Card Vol.7 SP72 / Special,SP72[スペシャルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム7」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0504.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3733435.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3733435.jpg.webp,档案单品原图
KR-MER-0505,Clear Card Vol.8 No.431 / Normal,No.431[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム8」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0505.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/g3888237.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/g3888237.jpg.webp,档案单品原图
KR-MER-0506,Clear Card Vol.9 No.472 / Normal,No.472[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム9」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0506.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/gg087985.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/gg087985.jpg.webp,档案单品原图
KR-MER-0507,Clear Card Vol.10 No.513 / Normal,No.513[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム10」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0507.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/gg292007.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/gg292007.jpg.webp,档案单品原图
KR-MER-0508,Clear Card Vol.10 SP114 / Special,SP114[スペシャルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム10」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0508.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/gg292029.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/gg292029.jpg.webp,档案单品原图
KR-MER-0509,Clear Card Vol.11 No.554 / Normal,No.554[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム11」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0509.webp,https://cdn.suruga-ya.jp/pics_webp/boxart_m/gg484629m.jpg.webp,駿河屋買取角色单品档案图,https://cdn.suruga-ya.jp/pics_webp/boxart_m/gg484629m.jpg.webp,档案单品原图
KR-MER-0510,Clear Card Vol.12 No.591 / Normal,No.591[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム12」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0510.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/gg894621.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/gg894621.jpg.webp,档案单品原图
KR-MER-0511,Clear Card !! 初代 No.039 / Normal,No.039[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0511.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/gl425822.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/gl425822.jpg.webp,档案单品原图
KR-MER-0512,Clear Card !! Vol.2 No.091 / Normal,No.091[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム2」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0512.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/gl968047.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/gl968047.jpg.webp,档案单品原图
KR-MER-0513,Clear Card !! Vol.2 SP.33 / Special,SP.33[スペシャルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム2」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0513.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/gl968076.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/gl968076.jpg.webp,档案单品原图
KR-MER-0514,Clear Card !! Vol.3 No.140 / Normal,No.140[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム3」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0514.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/gn554057.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/gn554057.jpg.webp,档案单品原图
KR-MER-0515,Clear Card !! Vol.4 No.189 / Normal,No.189[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム4」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0515.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/gu597485.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/gu597485.jpg.webp,档案单品原图
KR-MER-0516,Capsule Can Badge -2nd LIVE-,鬼龍紅郎 「あんさんぶるスターズ! カプセル缶バッジコレクション-2nd LIVE-」,バンダイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871739724.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871739724.jpg.webp,档案单品原图
KR-MER-0519,Capsule Can Badge Vol.8,鬼龍紅郎 「あんさんぶるスターズ! カプセル缶バッジコレクション vol.8」,バンダイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871681290.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871681290.jpg.webp,档案单品原图
KR-MER-0520,旧版 Arcana Card Collection 2,鬼龍紅郎 「あんさんぶるスターズ! アルカナカードコレクション2」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892033610.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892033610.jpg.webp,档案单品原图
KR-MER-0521,!! Arcana Card Collection 2,鬼龍紅郎 「あんさんぶるスターズ!! アルカナカードコレクション2」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892171745.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892171745.jpg.webp,档案单品原图
KR-MER-0522,旧版 EMOCA 初代,鬼龍紅郎 「あんさんぶるスターズ! EMOCA」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892032984.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892032984.jpg.webp,档案单品原图
KR-MER-0523,!! EMOCA 初代,鬼龍紅郎 「あんさんぶるスターズ!! EMOCA」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892043289.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892043289.jpg.webp,档案单品原图
KR-MER-0524,!! EMOCA2,鬼龍紅郎 「あんさんぶるスターズ!! EMOCA2」,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/892074211.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892074211.jpg.webp,档案单品原图
KR-MER-0525,ぴくりあ Vol.1 Rare,鬼龍紅郎(レア) 「あんさんぶるスターズ!! ぴくりあコレクション Vol.1」,amie,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0525.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/892062721.jpg.webp,档案单品原图
